estágio	desfolha	rep	peso
Vegetativo	0	1	33.16
Vegetativo	0	2	28.675
Vegetativo	0	3	31.485
Vegetativo	0	4	28.925
Vegetativo	0	5	36.43
Vegetativo	0.25	1	34.105
Vegetativo	0.25	2	30.01
Vegetativo	0.25	3	37.338
Vegetativo	0.25	4	27.93
Vegetativo	0.25	5	29.32
Vegetativo	0.5	1	25.228
Vegetativo	0.5	2	26.205
Vegetativo	0.5	3	33.327
Vegetativo	0.5	4	26.75
Vegetativo	0.5	5	33.2
Vegetativo	0.75	1	30.18
Vegetativo	0.75	2	27.306
Vegetativo	0.75	3	27.277
Vegetativo	0.75	4	28.305
Vegetativo	0.75	5	32.03
Vegetativo	1	1	24.323
Vegetativo	1	2	20.875
Vegetativo	1	3	20.755
Vegetativo	1	4	16.235
Vegetativo	1	5	22.2
Botão floral	0	1	24.4
Botão floral	0	2	30.015
Botão floral	0	3	27.98
Botão floral	0	4	32.437
Botão floral	0	5	30.845
Botão floral	0.25	1	28.815
Botão floral	0.25	2	31.547
Botão floral	0.25	3	26.453
Botão floral	0.25	4	29.775
Botão floral	0.25	5	27.7
Botão floral	0.5	1	30.389
Botão floral	0.5	2	26.957
Botão floral	0.5	3	29.975
Botão floral	0.5	4	35.43
Botão floral	0.5	5	25.093
Botão floral	0.75	1	34.501
Botão floral	0.75	2	26.86
Botão floral	0.75	3	20.5
Botão floral	0.75	4	26.071
Botão floral	0.75	5	24.929
Botão floral	1	1	23.015
Botão floral	1	2	25.007
Botão floral	1	3	21.706
Botão floral	1	4	22.449
Botão floral	1	5	24.024
Florescimento	0	1	27.681
Florescimento	0	2	30.51
Florescimento	0	3	29.555
Florescimento	0	4	32.825
Florescimento	0	5	23.2
Florescimento	0.25	1	26.58
Florescimento	0.25	2	15.6
Florescimento	0.25	3	19.26
Florescimento	0.25	4	26.174
Florescimento	0.25	5	18.06
Florescimento	0.5	1	23.666
Florescimento	0.5	2	16.491
Florescimento	0.5	3	23.31
Florescimento	0.5	4	14.59
Florescimento	0.5	5	25.425
Florescimento	0.75	1	27.928
Florescimento	0.75	2	15.475
Florescimento	0.75	3	23.314
Florescimento	0.75	4	20.62
Florescimento	0.75	5	13.99
Florescimento	1	1	16.851
Florescimento	1	2	8.522
Florescimento	1	3	9.686
Florescimento	1	4	14.556
Florescimento	1	5	17.435
Maçã	0	1	28.103
Maçã	0	2	28.9
Maçã	0	3	25.46
Maçã	0	4	27.69
Maçã	0	5	34.75
Maçã	0.25	1	30.678
Maçã	0.25	2	30.36
Maçã	0.25	3	23.33
Maçã	0.25	4	19.581
Maçã	0.25	5	28.655
Maçã	0.5	1	27.991
Maçã	0.5	2	26.994
Maçã	0.5	3	30.878
Maçã	0.5	4	28.358
Maçã	0.5	5	29.39
Maçã	0.75	1	20.312
Maçã	0.75	2	22.56
Maçã	0.75	3	23.81
Maçã	0.75	4	20.754
Maçã	0.75	5	22.23
Maçã	1	1	8.75
Maçã	1	2	4.735
Maçã	1	3	5.56
Maçã	1	4	9.055
Maçã	1	5	5.535
Capulho	0	1	34.14
Capulho	0	2	28.777
Capulho	0	3	36.58
Capulho	0	4	38.32
Capulho	0	5	33.1
Capulho	0.25	1	29.128
Capulho	0.25	2	34.105
Capulho	0.25	3	28.87
Capulho	0.25	4	29.76
Capulho	0.25	5	33.763
Capulho	0.5	1	29.122
Capulho	0.5	2	25.97
Capulho	0.5	3	25.735
Capulho	0.5	4	29.93
Capulho	0.5	5	31.51
Capulho	0.75	1	29.46
Capulho	0.75	2	25.255
Capulho	0.75	3	32.48
Capulho	0.75	4	26.82
Capulho	0.75	5	28.74
Capulho	1	1	22.46
Capulho	1	2	25.75
Capulho	1	3	30.76
Capulho	1	4	22.2
Capulho	1	5	25.575
